date,player,rank
2009-09-21,Amelie Mauresmo,20
2009-09-28,Amelie Mauresmo,19
2009-10-05,Amelie Mauresmo,20
2009-10-12,Amelie Mauresmo,20
2009-10-19,Amelie Mauresmo,21
2009-10-26,Amelie Mauresmo,21
2009-11-02,Amelie Mauresmo,21
2009-11-09,Amelie Mauresmo,21
2009-11-16,Amelie Mauresmo,21
2009-11-23,Amelie Mauresmo,21
2009-11-30,Amelie Mauresmo,21
2009-12-07,Amelie Mauresmo,21
2004-11-01,Ana Ivanovic,96
2004-11-08,Ana Ivanovic,98
2004-11-15,Ana Ivanovic,97
2004-11-22,Ana Ivanovic,97
2005-01-10,Ana Ivanovic,100
2005-01-17,Ana Ivanovic,82
2005-01-24,Ana Ivanovic,82
2005-01-31,Ana Ivanovic,63
2005-02-07,Ana Ivanovic,63
2005-02-14,Ana Ivanovic,62
2005-02-21,Ana Ivanovic,61
2005-02-28,Ana Ivanovic,58
2005-03-07,Ana Ivanovic,50
2005-03-14,Ana Ivanovic,50
2005-03-21,Ana Ivanovic,52
2005-03-28,Ana Ivanovic,52
2005-04-04,Ana Ivanovic,38
2005-04-11,Ana Ivanovic,36
2005-04-18,Ana Ivanovic,37
2005-04-25,Ana Ivanovic,37
2005-05-02,Ana Ivanovic,34
2005-05-09,Ana Ivanovic,36
2005-05-16,Ana Ivanovic,32
2005-05-23,Ana Ivanovic,31
2005-05-30,Ana Ivanovic,31
2005-06-06,Ana Ivanovic,21
2005-06-13,Ana Ivanovic,21
2005-06-20,Ana Ivanovic,21
2005-06-27,Ana Ivanovic,21
2005-07-04,Ana Ivanovic,20
2005-07-11,Ana Ivanovic,20
2005-07-18,Ana Ivanovic,20
2005-07-25,Ana Ivanovic,20
2005-08-01,Ana Ivanovic,20
2005-08-08,Ana Ivanovic,19
2005-08-15,Ana Ivanovic,19
2005-08-22,Ana Ivanovic,18
2005-08-29,Ana Ivanovic,16
2005-09-05,Ana Ivanovic,16
2005-09-12,Ana Ivanovic,18
2005-09-19,Ana Ivanovic,18
2005-09-26,Ana Ivanovic,18
2005-10-03,Ana Ivanovic,18
2005-10-10,Ana Ivanovic,20
2005-10-17,Ana Ivanovic,22
2005-10-24,Ana Ivanovic,17
2005-10-31,Ana Ivanovic,16
2005-11-07,Ana Ivanovic,17
2005-11-14,Ana Ivanovic,16
2005-11-21,Ana Ivanovic,16
2005-11-28,Ana Ivanovic,16
2005-12-05,Ana Ivanovic,16
2005-12-12,Ana Ivanovic,16
2005-12-19,Ana Ivanovic,16
2005-12-26,Ana Ivanovic,16
2006-01-02,Ana Ivanovic,16
2006-01-09,Ana Ivanovic,21
2006-01-16,Ana Ivanovic,22
2006-01-23,Ana Ivanovic,22
2006-01-30,Ana Ivanovic,20
2006-02-06,Ana Ivanovic,19
2006-02-13,Ana Ivanovic,18
2006-02-20,Ana Ivanovic,17
2006-02-27,Ana Ivanovic,17
2006-03-06,Ana Ivanovic,19
2006-03-13,Ana Ivanovic,19
2006-03-20,Ana Ivanovic,16
2006-03-27,Ana Ivanovic,16
2006-04-03,Ana Ivanovic,18
2006-04-10,Ana Ivanovic,17
2006-04-17,Ana Ivanovic,17
2006-04-24,Ana Ivanovic,17
2006-05-01,Ana Ivanovic,20
2006-05-08,Ana Ivanovic,20
2006-05-15,Ana Ivanovic,20
2006-05-22,Ana Ivanovic,21
2006-05-29,Ana Ivanovic,21
