point,x,y,hitBy,shotType,result
188,119,232,Federer,Forehand,Unforced Error
188,155,166,Nadal,Second Serve,In
188,162,135,Nadal,First Serve,Out
189,267,361,Nadal,Forehand,Winner
189,162,153,Federer,Second Serve,In
189,192,159,Federer,First Serve,Out
190,103,39,Federer,Backhand,Unforced Error
190,224,153,Federer,Second Serve,In
190,175,153,Federer,First Serve,Out
191,167,153,Federer,First Serve,Forced Error
192,132,295,Nadal,Forehand Volley,Winner
192,189,167,Federer,Second Serve,In
192,290,143,Federer,First Serve,Out
193,243,141,Federer,Forehand Volley,Winner
193,83,173,Federer,First Serve,In
194,268,55,Federer,Forehand,Forced Error
194,269,172,Federer,First Serve,In
195,274,37,Federer,Forehand,Unforced Error
195,165,149,Federer,First Serve,In
196,205,166,Federer,Backhand Volley,Winner
196,262,166,Federer,Second Serve,In
196,269,134,Federer,First Serve,Out
197,256,63,Federer,Backhand,Winner
197,99,145,Federer,First Serve,In
198,242,169,Federer,Backhand Volley,Winner
198,262,150,Federer,First Serve,In
199,268,129,Federer,Backhand,Forced Error
199,271,305,Nadal,Second Serve,In
199,205,233,Nadal,First Serve,Out
200,120,175,Federer,Forehand Volley,Winner
200,111,314,Nadal,First Serve,In
201,83,387,Nadal,Forehand,Forced Error
201,217,317,Nadal,First Serve,In
202,77,387,Nadal,Forehand,Forced Error
202,76,305,Nadal,First Serve,In
203,241,293,Nadal,Backhand Pass,Forced Error
203,214,314,Nadal,First Serve,In
204,275,425,Nadal,Forehand,Unforced Error
204,81,303,Nadal,Second Serve,In
204,81,334,Nadal,First Serve,Out
205,257,55,Federer,Forehand,Forced Error
205,197,309,Nadal,First Serve,In
206,266,392,Nadal,Forehand,Forced Error
206,79,297,Nadal,First Serve,In
207,291,64,Federer,Backhand,Unforced Error
207,201,309,Nadal,Second Serve,In
207,227,331,Nadal,First Serve,Out
208,246,294,Nadal,Backhand Pass,Forced Error
208,133,299,Nadal,First Serve,In
209,270,308,Federer,Second Serve,Forced Error
209,192,233,Federer,First Serve,Out
210,168,65,Nadal,Lob,Winner
210,163,315,Federer,First Serve,In
211,230,46,Nadal,Backhand Return,Forced Error
211,270,309,Federer,First Serve,In
212,122,392,Federer,Forehand,Forced Error
212,86,309,Federer,First Serve,In
213,81,364,Federer,Backhand,Forced Error
213,249,314,Federer,Second Serve,In
213,289,304,Federer,First Serve,Out
214,96,405,Federer,Forehand,Winner
214,154,311,Federer,First Serve,In
215,100,191,Nadal,Backhand Volley,Winner
215,155,164,Nadal,First Serve,In
216,265,150,Nadal,First Serve,Forced Error
217,266,159,Nadal,Forehand,Winner
217,154,154,Nadal,First Serve,In
218,77,125,Nadal,Backhand,Winner
218,262,161,Nadal,First Serve,In
